,stat,pvalue,dof,FDR
ETV3,2.51125178823012,0.0174656091450884,30.9402257153346,0.0373362562540149
ATF7,2.52163413687505,0.0171190575757259,30.5484691663998,0.0373362562540149
SOX11,2.58218435752826,0.0147947014659127,30.8308762560205,0.0339568424789582
ZNF680,2.58886340143139,0.0146853936349363,30.1331837950649,0.0338307957071495
HLTF,2.60162844337523,0.014145451317159,30.7216091117829,0.0328301146241527
GSC,2.61148363640006,0.0137785566457387,30.9534969326108,0.0320983604256534
NR3C2,2.6130704379662,0.0137353689664487,30.9001359658902,0.0320983604256534
VSX2,2.61762206020239,0.0135742258506566,30.9771669190177,0.0320983604256534
PRDM4,2.62192227989262,0.0134539497871519,30.8649112080064,0.0319821147551846
PAX4,2.62291495953165,0.0134177594070029,30.8910889464376,0.0319821147551846
GATA5,2.62550500386401,0.0133232768978834,30.9622730599608,0.0319821147551846
NFIB,2.63860564500778,0.0130067872844125,30.3841336202499,0.0314794618323135
PAX9,2.65268790254666,0.0124779166210363,30.9924911038739,0.030317438040174
HOXA11,2.65858275678714,0.0123174886191281,30.8957800587179,0.0300450114552851
DLX4,2.66007060875417,0.0122586308654637,30.9904814293121,0.0300191669225135
ZNF250,2.66185386507653,0.0122051698404137,30.9966201055348,0.030006385931768
RAX2,2.66392087456344,0.0121534803746604,30.9395181141372,0.0299978761628524
FOXF2,2.66422891015606,0.0121374310782317,30.9846642913321,0.0299978761628524
GSC2,2.66585150730617,0.0121043791026015,30.8929934626362,0.0299978761628524
