"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"T Memory Cells",0.01268451865421,0.193727193991571,0.380730400722792,0.993308798929408,1.33368822634029,1,"ARHGEF1"
"Adrenergic Neurons",0.0155842410836861,0.218179375171606,0.380730400722792,-0.719701003974146,-1.66893288397802,9,"GADD45G;APOA1;SCAMP5"
"Melanocytes",0.0234708107928889,0.281649729514667,0.352487857583619,0.761755834316123,1.57447718586392,7,"SLK;ZC3H7A;DST;PRKCA"
"Trichocytes",0.0229018460857983,0.281649729514667,0.352487857583619,0.519701078617541,1.55414125405292,28,"MST1R;KRT18;KRT19;FAM83H;ITGB4;EPHA2;PKP3;WWC1;KRT8;DSP;EPS8L2;RHOD;CLDN4"
"Megakaryocytes",0.026134337803087,0.292704583394574,0.352487857583619,0.831952410036048,1.55909711732725,5,"PLK3;VEGFA;MAFG"
"Astrocytes",0.0281846523072032,0.295938849225634,0.352487857583619,0.936077643908969,1.40429241169153,2,"SLC25A28;GSTA4"
"Epsilon Cells",0.0363584887668743,0.339345895157493,0.321775918075361,-0.520453445062547,-1.48938658360964,21,"ALDOB;TMEM82;ENPEP;SPINK1;APOA1;FABP1;NR1H4;TM4SF5;APOA4;MTTP;PHGR1"
"Neural Stem/Precursor Cells",0.0347428073836295,0.339345895157493,0.321775918075361,0.846923315024143,1.53245002608845,4,"CCND2;RBM3;S100A6;MGAT5"
"Neurons",0.0468164794007491,0.413956238911887,0.287857117255149,0.55264543979613,1.5390210206528,22,"PTK2B;ATP6V1H;SAFB2;PNISR;SFSWAP;TFF3;ATP6V0A1;RB1CC1;ZCCHC7;TRIP11;SAFB;AKAP8L;PABPN1"
"Ciliated Cells",0.0590631364562118,0.479269684290605,0.266350657088526,0.914297214589677,1.37161767384741,2,"APPL2;TUBB4B"
"Fibroblasts",0.0625,0.479269684290605,0.248911114434702,0.569203432766,1.48561654156539,17,"LRRK1;HIF1A;VEGFA;RIPK3;NFAT5;KLF4;NFKB1;FOSB"
"Purkinje Neurons",0.0627615062761506,0.479269684290605,0.261663521711573,0.768728511628728,1.44061414094068,5,"ITPR3;HIVEP2;PRKCA;PDE5A"
"Airway Goblet Cells",0.0695187165775401,0.48068669527897,0.227987202850442,0.448115665209246,1.40660587748166,36,"TSPAN8;DMBT1;MST1R;LIPH;KRT19;MUC2;TFF3;PKP3"
